id,truth,pred,message
1674,0,1,"Tu veux une vraie réponse venant de Dieu ? Arrête les livres, les études et va vers Dieu en prière et Dieu t’ouvrira les yeux ! Comme Il l’a fait pour moi ! Et là, et seulement là, tu mettras ta foi dans des réponses émanant de Dieu directement et non via tes propres forces, moyens, intelligences et pensées."
17,0,1,"4) Dieu n’oppose jamais dans sa Parole la connaissance et l’obéissance. Au contraire, il dit « mon peuple périt par manque de connaissance »."
1533,0,1,"[2]F. Turretin, Institutio theologiae elencticae, Vol. 2, Genève, Samuel de Tournes, 1689, XII.XII.I, p. 286."
2821,0,1,"En attendant, vous pouvez consulter nos articles sur les [Alliances](https://parlafoi.fr/category/alliances/) et ceux sur les [Sacrements](https://parlafoi.fr/category/theologie/sacrements/)."
1309,0,1,"=> « Incirconcis de cœur » ! Ça ne vous parles pas ? Cela montrent deux choses :   – premièrement : Ils étaient circoncis mais pas de coeur. Cela veut dire qu’ils avaient un « esprit religieux », ils faisaient tout par tradition mais leurs cœurs n’étaient pas en Dieu. Alors cela déplu à Dieu.   – deuxièmement : que Dieu n’a que faire des traditions et des religions, ce qu’Il attends de homme est un cœur entier, pur, qui aime Dieu et fasse Sa Volonté par L’Esprit-Saint !"
1602,0,1,"On tourne en rond, puisque nous venons justement de montrer qu’Hébreux ne dit pas cela. On peut poursuivre la discussion sur ce point. J’aimerai bien voir ta réaction à cet article :   <https://parlafoiblog.wordpress.com/2018/07/26/hebreux-les-alliances-et-les- avertissements/>"
2181,0,1,Je vous recommande donc vraiment de lire l’article sur la circoncision mentionné pour pouvoir comprendre celui-là.
3521,0,1,"De plus, la Bible est claire (et là j’ai envie de crier Amen !). Elle l’est vraiment. Il faut être patient et étudier mais Dieu ne nous a pas donné un recueil de mystères. Il nous a donné sa Parole, dans un langage humain, logique, compréhensible et accessible. Elle a un sens objectif, oui. Et il peut être découvert !"
2716,0,1,"Le débat autour de la transsubstantation ? Le plus ecclésiologique de tous : il ne s’agissait pas tant de savoir si le pain était la chair de Jésus que de **savoir si l’Église était médiatrice entre l’homme et Dieu** : si le prêtre a le pouvoir de changer le pain et le vin en corps et sang du Christ, alors la grâce de Dieu (qui est toute entière contenue dans le Christ) se retrouve à nouveau dans les mains de la prêtrise romaine."
1263,0,1,"> Pour nous, qui devons au Christ le bonheur de connaitre Dieu, nous avons > reçu non la circoncision de la chair, mais celle de l’esprit qu’Henoch et > les autres justes ont observée ; nous l’avons reçue dans le baptême, grâce a > la miséricorde divine qui nous a affranchis du péché ; et vous pouvez tous > la recevoir comme nous. > > Justin Martyr, Dialogue avec Tryphon, XLIII."
461,0,1,"Souviens-toi que je ne fais que vulgariser, j’invente pas grand chose."
214,0,1,"Ces termes techniques ont reçu diverses définitions, je préfère savoir où se situe mon interlocuteur.   Quelques remarques :   – Le terme justification dans la Bible fait référence à un évènement passé. L’ordre donné par Paul en Rom 8 n’est pas sanctification puis justification mais l’inverse, de manière explicite.   – Régénération peut désigner en effet le changement de vie qui a cours tout au long de notre vie.   – Régénération désigne plus particulièrement la première étape de ce changement, la naissance d’en haut qui initie en nous la vie éternelle et divine. 1 Jean situe cette évènement avant la foi. Ceux qui croient ont été (au passé) régénérés. Cela colle avec Jean 1 qui nous dit que sont appelés enfants (nés de Dieu) ceux qui croient en la Parole et qui sont nés non du sang, ni de la volonté de la chair, ni de la volonté de l’homme mais de Dieu.   – La sanctification est décrite soit au passé dans la Bible (et fait dans ce cas référence à ce que l’on désigne par justification en théologie réformée) soit au présent et au futur et désigne le processus de changement progressif qui en découle jusqu’à la glorification parfaite au ciel dans la vision et la fruition béatifiques.   – Que la foi procède de l’oeuvre de Dieu initiale dans le coeur de l’homme (quelque soit le nom qu’on veut lui donner) et non de la volonté de ce dernier est une vérité de foi, un dogme proclamé depuis l’antiquité. Paul l’exprime clairement lorsqu’il dit que la foi est un don de Dieu afin que nul ne puisse se vanter en Eph 2 et qu’il dit aux Philippiens qu’il leur a été fait la grâce non seulement de croire mais aussi de souffrir pour Christ. Ou encore lorsqu’il dit à Timothée que le serviteur de Dieu doit oeuvrer patiemment dans l’espoir que Dieu donnera la repentance, cette dernière étant toujours accompagnée de la foi.   Je vous invite à consulter la série « Quel lien entre la justification, les oeuvres et le salut » qui est en cours et qui explorera en 7 articles l’articulation de ces différents éléments."
2964,0,1,Oui oui. Ce que je voulais dire c’est : les presby ne disent pas nécessairement que les apostats ont été sanctifiés. En tout cas pas dans tous les sens du terme.
1650,0,1,"En ayant ces choses en tête, bien que les pratiques baptismales demeurent différentes, elles se rapprochent encore et permettent un dialogue plus intéressant que le traditionnel « baptiser veut dire immerger » (ce qui est faux, comme nous l’avons montré)."
3529,0,1,[#4 Jésus-Christ fils d’Abraham – La révélation du plan de rédemption – Matthieu 1.1](https://www.youtube.com/watch?v=XhZ4-xPrYGk&list=PLtdR9542LkZZ9nKjMRxAcB3G1C1b3NODa&index=4)
2602,0,1,"Enfin, une date précoce peut être attribuée à Hagigah 1:1 parce que sa question est finalement sacerdotale et non rabbinique. Le règlement du temple avant l’an 70 après J.-C. pouvait être trouvé, avec autorité, en demandant simplement à n’importe quel prêtre du temple. Comme le règlement du temple de la Mishnah ne semble pas communiquer un thème sous-jacent, il est probable qu’au lieu d’être un différend réel, notre texte contient simplement deux façons différentes de consigner le règlement du temple tel que donné par les prêtres. Cela donnerait une racine au premier siècle au contenu de la péricope. Tous les facteurs ci-dessus soutiennent l’idée que Hagigah 1:1 décrit les pratiques et les points de vue du premier siècle."
2892,0,1,"Quant à la prétendue unité catholique… Les universités libérales jésuites, les conservateurs dominicains, Père Martin pro-LGBT, cardinal Burke morale traditionnelle. Je ne sais pas quel est votre unique credo mais il ne doit pas être bien long."
862,0,1,Q. 72: Le bain extérieur est-il donc en lui-même la purification des péchés?
1736,0,1,Merci pour ta contribution. Je n’ai pas tout de suite le temps de répondre mais je le ferai Dieu voulant si je vulgarise le livre de Jeremias et sa réponse à celui de Aland.
1497,0,1,"Autrement dit, si l’un de mes arguments ne vous convainc pas, n’en restez pas là ! Essayez de savoir si vous avez raison de ne pas être convaincu, c’est-à- dire, montrez-moi en quoi l’argument n’est pas valide. Avec ces choses en tête, poursuivons."
2459,0,1,"Là-dessus, nous sommes plutôt d’accord. Mais prenons un peu de recul avant d’en tirer des conclusions hâtives."
1803,0,1,"Encore n’importe quoi … C’est tjs tiré par les cheveux, sans aucunes réflexion basé sur la Parole de Dieu."
3359,0,1,"Dieu ne parle pas ainsi sans grande raison, car non seulement il veut nous apprendre par là que, tout comme la saleté du corps est enlevée par l’eau, de même nos péchés le sont par le sang et l’Esprit du Christ (Apocalypse 1.5; 7.14; 1 Corinthiens 6.11); mais bien plus, il veut nous assurer par ce gage et ce signe divins que nous sommes aussi véritablement lavés spirituellement de nos péchés que nous le sommes corporellement par l’eau (Marc 16.16; Galates 3.17)."
12,0,1,Cette confusion dans ma tête venait d’une mauvaise compréhension de ce qu’est l’assurance du salut et de la façon dont Dieu la produit en nous.
1702,0,1,"Pas en théorie. Pas juste pour faire beau sur le papier. La Bible est claire en vrai. On peut connaître ce qu’elle enseigne et savoir ce que Dieu veut ! C’était comme une nouvelle naissance pour moi de redécouvrir cette vérité. Peut-être que vous ne comprenez pas tellement comment j’ai pu douter de cela : ça s’est fait progressivement et, comme je l’ai dit, c’est venu du fait que je me sentais submergé par tous ces grands spécialistes qui n’étaient pas d’accord."
2167,0,1,"Vous avez beaucoup à apprendre. Sortez de votre orgueil. Ce qui vous fait penser que vous savez tout. Remettez en question en questionnant Dieu directement, en prière et vous aurez vos réponses. Arrêtez avec les livres, les études … Etc."
1235,0,1,Il reste donc 2 seules possibilités pour quelqu’un qui veut rester intellectuellement cohérent :
3014,0,1,"  4. Voir la page 221, Sources Chrétiennes, Éditions du Cerf[↩]"
